Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2020-01-17,1.8609,1.8704,1.8418,1.8592,-0.0008,1.8538,32742.0,5244.0
2020-01-20,1.8848,1.8848,1.8667,1.8763,0.0171,1.877,7866.0,5809.0
2020-01-21,1.8756,1.8756,1.8246,1.8292,-0.0471,1.846,6863.0,5778.0
2020-01-22,1.825,1.8252,1.7774,1.8002,-0.029,1.7976,5882.0,5450.0
2020-01-23,1.7871,1.7947,1.7512,1.7916,-0.0086,1.7711,6188.0,4619.0
2020-01-24,1.7891,1.7964,1.7265,1.734,-0.0576,1.7538,4261.0,3731.0
2020-01-27,1.7221,1.7221,1.6565,1.6795,-0.0545,1.6761,5830.0,3486.0
2020-01-28,1.6709,1.7226,1.6574,1.7159,0.0364,1.6954,5496.0,2949.0
2020-01-29,1.7246,1.7333,1.6933,1.7035,-0.0124,1.7137,3593.0,2443.0
2020-01-30,1.695,1.695,1.6308,1.642,-0.0623,1.656,37378.0,6804.0
2020-01-31,1.6738,1.6788,1.6179,1.6284,-0.0136,1.6415,26598.0,6967.0
2020-02-03,1.6172,1.6276,1.5712,1.5779,-0.0505,1.5972,32052.0,6912.0
2020-02-04,1.5784,1.6179,1.5748,1.5839,0.006,1.6037,33937.0,6574.0
2020-02-05,1.5965,1.6718,1.59,1.6454,0.0615,1.6464,26064.0,6178.0
2020-02-06,1.6553,1.6765,1.6415,1.6654,0.02,1.6592,25047.0,5588.0
2020-02-07,1.6721,1.6751,1.6405,1.6433,-0.0221,1.6528,36785.0,5131.0
2020-02-10,1.6366,1.6501,1.6102,1.6125,-0.0308,1.6224,32732.0,4907.0
2020-02-11,1.6219,1.6419,1.6207,1.6267,0.0142,1.6311,30541.0,4937.0
2020-02-12,1.644,1.6832,1.644,1.6757,0.049,1.6689,40705.0,4472.0
2020-02-13,1.6724,1.6954,1.6604,1.6805,0.0048,1.6795,33657.0,4353.0
2020-02-14,1.6762,1.7016,1.6715,1.6982,0.0177,1.6897,37399.0,4443.0
2020-02-17,1.6964,1.7001,1.6816,1.6973,-0.0009,1.6896,12290.0,4168.0
2020-02-18,1.6842,1.6855,1.658,1.6724,-0.0249,1.67,12403.0,4336.0
2020-02-19,1.6681,1.7101,1.6681,1.7068,0.0344,1.6952,8809.0,4516.0
2020-02-20,1.7087,1.7183,1.6881,1.6976,-0.0092,1.7046,6026.0,4274.0
2020-02-21,1.6899,1.6899,1.6576,1.6866,-0.011,1.6757,6088.0,3854.0
